F,1,2,3,4,5,6,7,8,9,10,11,12
1,0.55,0.3025,0.166375,0.09150625,0.050328438,0.027680641,0.015224352,0.008373394,0.004605367,0.002532952,0.001393123,0.000766218
2,0.85,0.6325,0.438625,0.29115625,0.187587813,0.118271828,0.073353698,0.044911839,0.02721353,0.016349051,0.009751864,0.005781462
3,1,0.7975,0.57475,0.39098125,0.2562175,0.163567422,0.10241837,0.063181062,0.038517611,0.023257101,0.013931234,0.008289084
4,1,0.8875,0.72325,0.55433125,0.405955,0.287100859,0.197539117,0.132936277,0.087844513,0.057169346,0.036727799,0.023334817
6,1,0.9775,0.87175,0.71768125,0.5556925,0.410634297,0.292659864,0.202691491,0.137171415,0.091081591,0.059524363,0.038380549
8,1,0.9775,0.89875,0.77708125,0.6373675,0.500476797,0.37913327,0.278788088,0.199951108,0.140408493,0.096827832,0.065736427
9,1,1,0.935875,0.81791875,0.674801875,0.531360156,0.402913457,0.296226892,0.212282833,0.148886554,0.102526974,0.06949786
12,1,1,0.976375,0.90701875,0.797314375,0.666123906,0.532623566,0.410371788,0.306452372,0.222876906,0.158482178,0.110531676
16,1,1,0.976375,0.91511875,0.819589375,0.702877656,0.579790879,0.462255832,0.357817576,0.269961676,0.199176871,0.144104799
18,1,1,0.996625,0.95966875,0.880845625,0.770259531,0.644645934,0.51932828,0.404902345,0.306956852,0.227154473,0.164621707
24,1,1,0.996625,0.97586875,0.925395625,0.843767031,0.738980559,0.623096368,0.507632752,0.401126391,0.308543861,0.231767952
27,1,1,1,0.98329375,0.935605,0.854997344,0.749789734,0.632608442,0.515480214,0.407292254,0.313206795,0.235187436
32,1,1,1,0.98329375,0.938035,0.863016344,0.765226309,0.655248752,0.543497597,0.438111376,0.344282743,0.264487616
36,1,1,1,0.99544375,0.9714475,0.918146969,0.835977278,0.733074818,0.620545402,0.508738531,0.405324783,0.3148473
48,1,1,1,0.99544375,0.9775225,0.938194469,0.874568716,0.789675593,0.690588861,0.585786336,0.483014653,0.388097748
54,1,1,1,0.99949375,0.98866,0.956571344,0.898152372,0.815617615,0.716271463,0.609328721,0.503362,0.40488431
64,1,1,1,0.99949375,0.98866,0.957300344,0.900959022,0.821792245,0.726459602,0.623337412,0.520312517,0.423529878
72,1,1,1,0.99949375,0.994735,0.977347844,0.939550459,0.87839302,0.796503061,0.700385217,0.598002387,0.496780327
81,1,1,1,1,0.996127188,0.979644953,0.942498416,0.881635773,0.799713387,0.703328015,0.600545806,0.498878647
96,1,1,1,1,0.996127188,0.981831953,0.950918366,0.900159663,0.830277805,0.745354091,0.651397357,0.554815354
108,1,1,1,1,0.999164688,0.991855703,0.970214085,0.92846005,0.865299535,0.783877993,0.690242292,0.591440578
128,1,1,1,1,0.999164688,0.991855703,0.970432785,0.92942233,0.867681178,0.788244339,0.69684639,0.600157987
144,1,1,1,1,0.999164688,0.994589453,0.980957723,0.952577193,0.905886701,0.840776933,0.760410829,0.67007887
162,1,1,1,1,0.999924063,0.997095391,0.985781652,0.959652289,0.914642133,0.850407909,0.770122062,0.679235176
192,1,1,1,1,0.999924063,0.997095391,0.986547102,0.963020269,0.922977884,0.865690118,0.793236404,0.709746107
216,1,1,1,1,0.999924063,0.998917891,0.993563727,0.978456844,0.948448232,0.900711848,0.835612697,0.756360029
243,1,1,1,1,1,0.999168484,0.99404612,0.979164354,0.949323776,0.901674945,0.83658382,0.75727566
256,1,1,1,1,1,0.999168484,0.99404612,0.979229964,0.949648545,0.902568061,0.838384938,0.760247503
288,1,1,1,1,1,0.999168484,0.995194295,0.984281934,0.962152171,0.925491375,0.87305645,0.8060139
324,1,1,1,1,1,0.999851922,0.99782553,0.99007065,0.971703552,0.938624524,0.88894756,0.82349412
384,1,1,1,1,1,0.999851922,0.99782553,0.99033309,0.97300263,0.942196988,0.89615203,0.835381496
432,1,1,1,1,1,0.999851922,0.998782342,0.994543065,0.983422318,0.96129975,0.925044957,0.873520159
486,1,1,1,1,1,0.999988609,0.999308589,0.995700808,0.985332594,0.963926379,0.928223179,0.877016204
512,1,1,1,1,1,0.999988609,0.999308589,0.995700808,0.985352277,0.964034636,0.928550654,0.877736651
576,1,1,1,1,1,0.999988609,0.999308589,0.996160078,0.987625664,0.970286449,0.941158477,0.898539558
